AAC-	AAC3.MEG_38_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	AAC6_PRIME.MEG_299_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME
AAC2_PRIME	AAC2_PRIME.MEG_14_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME
AAC2_PRIME_1	AAC2_PRIME.MEG_16_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME
AAC2_PRIME_2	AAC2_PRIME.MEG_19_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME
AAC2_PRIME_3	AAC2_PRIME.MEG_18_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME
AAC2_PRIME_4	AAC2_PRIME.MEG_15_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME
AAC2_PRIME_5	AAC2_PRIME.MEG_13_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME
AAC2_PRIME_6	AAC2_PRIME.MEG_17_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME
AAC3	AAC3.MEG_39_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	AAC3.MEG_57_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	AAC3.MEG_65_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3
AAC3-	AAC3.MEG_37_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	AAC3_PRIME.MEG_68_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3_PRIME
AAC3_1	AAC3.MEG_54_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3
AAC3_10	AAC3.MEG_36_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3
AAC3_11	AAC3.MEG_58_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3
AAC3_12	AAC3.MEG_32_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	AAC3.MEG_51_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3
