AAC2_PRIME.MEG_13_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:ARG-ANNOT; Source_Headers:(AGly)Aac2-Ic:U72714:373-918:546
AAC2_PRIME.MEG_14_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:CARD; Source_Headers:CARD|gb|AB669090.1|+|12438-13221|ARO:3004628|AAC(2')-IIa [Burkholderia glumae]
AAC2_PRIME.MEG_15_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:CARD; Source_Headers:CARD|gb|AL583926.1|+|40191-40740|ARO:3002527|AAC(2')-Ie [Mycobacterium leprae]
AAC2_PRIME.MEG_16_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:CARD; Source_Headers:CARD|gb|KX531051.1|+|0-723|ARO:3003988|AAC(2')-IIb [Paenibacillus sp. LC231]
AAC2_PRIME.MEG_17_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:CARD; Source_Headers:CARD|gb|L06156|+|263-800|ARO:3002523|AAC(2')-Ia [Providencia stuartii]
AAC2_PRIME.MEG_18_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:CARD; Source_Headers:CARD|gb|U41471|+|264-852|ARO:3002524|AAC(2')-Ib [Mycolicibacterium fortuitum]
AAC2_PRIME.MEG_19_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC2_PRIME	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC2-PRIME; Source_Database:CARD; Source_Headers:CARD|gb|U72743|+|385-1018|ARO:3002526|AAC(2')-Id [Mycolicibacterium smegmatis MC2 155]
AAC3.MEG_20_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC3; Source_Database:AMRFinder; Source_Headers:504873195|WP_015060297.1|NG_047248|1|1|aac(3)-IIa|aac(3)-IIa|aminoglycoside_N-acetyltransferase_AAC(3)-IIa NG_047248:101-961
AAC3.MEG_21_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC3; Source_Database:AMRFinder; Source_Headers:1028080882|WP_063840265.1|NG_047246|1|1|aac(3)-IIa|aac(3)-IIa|aminoglycoside_N-acetyltransferase_AAC(3)-IIa NG_047246:101-961
AAC3.MEG_22_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3	1	0	.	.	class:Aminoglycosides; mechanism:Aminoglycoside N-acetyltransferases; group:AAC3; Source_Database:AMRFinder; Source_Headers:499787584|WP_011468318.1|NG_048571|1|1|aac(3)-Ig|aac(3)-I|aminoglycoside_N-acetyltransferase_AAC(3)-Ig NG_048571:101-577
